Year,Northern Hemisphere,Southern Hemisphere
1880,-33,-5
1881,-18,-2
1882,-17,-1
1883,-30,-8
1884,-42,-12
1885,-41,-21
1886,-39,-21
1887,-37,-28
1888,-22,-17
1889,-16,-6
1890,-40,-33
1891,-23,-24
1892,-30,-21
1893,-39,-19
1894,-37,-23
1895,-28,-14
1896,-20,-8
1897,-13,-9
1898,-28,-29
1899,-17,-15
1900,-3,-13
1901,-8,-19
1902,-29,-23
1903,-35,-35
1904,-45,-42
1905,-28,-26
1906,-20,-23
1907,-46,-31
1908,-45,-39
1909,-48,-46
1910,-43,-41
1911,-41,-47
1912,-47,-22
1913,-42,-25
1914,-18,-13
1915,-9,-11
1916,-35,-30
1917,-52,-26
1918,-32,-17
1919,-32,-10
1920,-26,-24
1921,-8,-31
1922,-25,-27
1923,-18,-27
1924,-15,-38
1925,-7,-30
1926,4,-21
1927,-10,-29
1928,-7,-33
1929,-30,-40
1930,2,-29
1931,5,-23
1932,-3,-30
1933,-24,-31
1934,1,-27
1935,-8,-29
1936,-3,-26
1937,13,-16
1938,14,-18
1939,7,-13
1940,14,3
1941,16,10
1942,14,6
1943,21,7
1944,28,24
1945,9,16
1946,7,-12
1947,5,-12
1948,0,-18
1949,-2,-16
1950,-16,-19
1951,5,-18
1952,5,-3
1953,22,-6
1954,-4,-20
1955,-9,-19
1956,-25,-14
1957,4,3
1958,16,-5
1959,11,-4
1960,8,-13
1961,8,3
1962,14,-9
1963,15,-3
1964,-20,-21
1965,-13,-7
1966,0,-10
1967,3,-8
1968,-5,-9
1969,-2,14
1970,-3,9
1971,-15,-3
1972,-18,20
1973,10,20
1974,-19,4
1975,-5,2
1976,-21,-2
1977,12,24
1978,2,12
1979,8,26
1980,16,39
1981,39,27
1982,6,21
1983,26,35
1984,5,27
1985,0,25
1986,14,25
1987,27,41
1988,37,43
1989,29,29
1990,51,36
1991,41,44
1992,12,33
1993,20,29
1994,36,27
1995,58,34
1996,28,42
1997,53,42
1998,73,54
1999,52,32
2000,51,33
2001,64,46
2002,71,56
2003,72,52
2004,67,42
2005,84,55
2006,80,47
2007,83,49
2008,66,42
2009,71,59
2010,88,55
2011,71,50
2012,77,50
2013,76,56
2014,91,58
